file_name,source_path,latest_run_id,equipment_class_id,alternatives,reason
【格力】模块式风冷冷(热)水机组技术手册（67页）-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块式风冷冷(热)水机组技术手册（67页）-.pdf,20260508T134633Z_hvac_doclevel_extraction_batch,centrifugal_chiller,chiller|air_cooled_modular_heat_pump|modular_chiller,has_alternatives
【开利】30XAXQ开机运行维护手册-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/03、开利中央空调/技术手册/【开利】30XAXQ开机运行维护手册-制冷百家网.pdf,20260508T131627Z_hvac_doclevel_extraction_batch,air_cooled_modular_heat_pump,modular_chiller,has_alternatives
（制冷百家）麦克维尔MAC模块机应用手册1-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/（制冷百家）麦克维尔MAC模块机应用手册1-制冷百家网.pdf,20260508T143040Z_hvac_doclevel_extraction_batch,controller,,primary_class=controller
【美的】水冷柜机 水环热泵技术手册（72页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】水冷柜机 水环热泵技术手册（72页）-制冷百家网.pdf,20260508T143040Z_hvac_doclevel_extraction_batch,centrifugal_chiller,chiller|cooling_tower|air_cooled_modular_heat_pump,has_alternatives
【麦克维尔】AWS风冷机组操作维修手册-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】AWS风冷机组操作维修手册-.pdf,20260508T154855Z_hvac_doclevel_extraction_batch,chilled_water_pump,controller|chiller|sensor,has_alternatives
【麦克维尔】MAC模块机应用技术手册（100页）-.pdf,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MAC模块机应用技术手册（100页）-.pdf,20260508T152651Z_hvac_doclevel_extraction_batch,controller,,primary_class=controller
【格力】中央空调风冷柜机技术服务手册(105页)-.pdf,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调风冷柜机技术服务手册(105页)-.pdf,20260508T154855Z_hvac_doclevel_extraction_batch,centrifugal_chiller,chiller|cooling_tower,has_alternatives
【美的】 美的风冷模块机组LSQ技术手册（121页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】 美的风冷模块机组LSQ技术手册（121页）-制冷百家网.pdf,20260508T154855Z_hvac_doclevel_extraction_batch,centrifugal_chiller,valve|chiller|pump,has_alternatives
【美的】LSQWRF风冷热泵模块机技术手册（121页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】LSQWRF风冷热泵模块机技术手册（121页）-制冷百家网.pdf,20260508T154855Z_hvac_doclevel_extraction_batch,centrifugal_chiller,valve|chiller|pump,has_alternatives
【特灵】CGAM风冷热泵机组技术手册（148页）-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/05、特灵中央空调/特灵/【特灵】CGAM风冷热泵机组技术手册（148页）-制冷百家网.pdf,20260508T154855Z_hvac_doclevel_extraction_batch,controller,,primary_class=controller
【美的】风冷热泵模块机组技术手册 （C、G、H系列）148页-制冷百家网.pdf,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】风冷热泵模块机组技术手册 （C、G、H系列）148页-制冷百家网.pdf,20260508T163304Z_hvac_doclevel_extraction_batch,centrifugal_chiller,chiller|pump|cooling_tower,has_alternatives
