batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Mitsubishi Heavy Industries,oem_manual_or_vendor_doc,controller_manual,controller,20,good_text,doc_level_single_call,12.55,/Volumes/TSD302/pan/a00238/07、三菱重工/技术手册/【三菱重工】线控器用户使用说明手册（20页）.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,TICA,oem_manual_or_vendor_doc,operation_installation_manual,"air_cooled_chiller_heat_pump,ahu,controller",21,good_text,doc_level_single_call,1.09,/Volumes/TSD302/pan/a00238/13、天加中央空调/【天加 】风冷净化空调机组安装操作手册.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,York/JCI,oem_manual_or_vendor_doc,controller_manual,"air_cooled_chiller_heat_pump,controller",23,good_text,doc_level_single_call,0.61,/Volumes/TSD302/pan/a00238/04、约克中央空调/约克技术手册/【约克】风冷冷水机组YCAC，YMAC，YSAC通用控制器使用手册3.0.pdf
