batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,fault_code_reference,"controller,fault_code",31,good_text,doc_level_single_call,0.46,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MACD模块机组故障分析与排除技术手册（31页）-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,fault_code_reference,"vrf_vrv,fault_code",111,good_text,doc_level_single_call,2.12,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/（制冷百家）海尔商用故障代码手册-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Hitachi,oem_manual_or_vendor_doc,fault_code_reference,"controller,fault_code",2,good_text,doc_level_single_call,0.09,/Volumes/TSD302/pan/a00238/12、日立空调/技术手册/【日立】日立商用中央空调-故障代码表.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,McQuay/Daikin,oem_manual_or_vendor_doc,fault_code_reference,fault_code,2,good_text,doc_level_single_call,0.12,/Volumes/TSD302/pan/a00238/06、麦克维尔/技术手册/【麦克维尔】MAC机组_《故障代码及处理方法》手册-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,fault_code_reference,"vrf_vrv,fault_code",25,partial_text,doc_level_single_call,3.72,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】MDV4+多联机故障代码及维修流程图手册（25页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Daikin,oem_manual_or_vendor_doc,service_manual,"controller,fault_code",1,good_text,doc_level_single_call,0.04,/Volumes/TSD302/pan/a00238/01、大金中央空调/技术、维修手册/【大金】空调故障代码一览表（2012版本）制冷百家网.pdf
