batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,15,good_text,doc_level_single_call,1.66,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】中央空调 MB 系列模块式风冷冷（热）水机组手册-.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Kingair,oem_manual_or_vendor_doc,controller_manual,"air_cooled_chiller_heat_pump,controller",17,good_text,doc_level_single_call,1.52,/Volumes/TSD302/pan/a00238/21、国祥/【国祥】模块机控制器规格书.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Gree,oem_manual_or_vendor_doc,technical_manual,air_cooled_chiller_heat_pump,18,good_text,doc_level_single_call,2.8,/Volumes/TSD302/pan/a00238/02、格力/技术手册/【格力】模块风冷冷水机组控制系统手册-.pdf
