batch_group,batch_reason,extraction_priority,publisher_or_brand_guess,authority_level_guess,document_kind_guess,equipment_scope_guess,page_count,text_quality,recommended_extraction_mode,size_mb,path
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,air_cooled_chiller_heat_pump,28,good_text,doc_level_single_call,0.98,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】LSQ系列风冷涡旋机组维修手册（32页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Haier,oem_manual_or_vendor_doc,service_manual,fault_code,29,good_text,doc_level_single_call,1.79,/Volumes/TSD302/pan/a00238/08、海尔中央空调/海尔技术手册/【海尔】商用柜机KFR(d)-120LW】维修手册（29页）-制冷百家网.pdf
B_oem_manual_text_first,text-extractable OEM operation/service/technical manuals; catalogs excluded,P1_batch_extract,Midea,oem_manual_or_vendor_doc,service_manual,fault_code,30,good_text,doc_level_single_call,1.68,/Volumes/TSD302/pan/a00238/09、美的/美的技术手册/【美的】高温直热循环式热水机 RSJ 系列 技术手册（30页）-制冷百家网.pdf
